job_url,job_name,job_company,job_technologies_stack,job_description,job_other_info
https://www.tecnoempleo.com/tecnico-sistemas-m2-sistemas-informaticos/vmware-office-365/rf-94bb16ac428fa3465743,Técnico Sistemas,M2 Sistemas Informaticos,"['VMWARE', 'OFFICE 365', 'VLAN']","Se requiere técnico informático para realizar labores de soporte y mantenimiento informático en diversos proyectos.
Experiencia mínima 2 años.

Tareas principales a ...",08/05/2026Madrid (Presencial)Soporte Técnico18.000€ - 24.000€ b/a
https://www.tecnoempleo.com/analista-programadores-analistas-prog-java-isc/java/rf-1da810aa227993bcf644,"Analista, Programadores y Analistas Prog. Java",ISC,['java'],"Somos una empresa con gran experiencia en desarrollos a medida para clientes con
necesidades de soluciones profesionales.

Necesitamos programadores, analistas/programadores. ...",08/05/2026100% remotoAnalista
https://www.tecnoempleo.com/data-visualization-expert-qlik-cloud-exdesis/power-bi/rf-97f71f4d8242f3adcd44,Data Visualization Expert Qlik Cloud,EXDESIS,"['Qlik', 'Power BI']",En EXDESIS incorporamos profesional con sólida experiencia en el desarrollo de cuadros de mando y visualizaciones de datos con herramientas Qlik Cloud Analytics y otras ...,08/05/2026Barcelona (Híbrido)Analista
https://www.tecnoempleo.com/responsable-sistemas-informaticos-medicos-del-mund/microsoft/rf-de891f2602e113e92e47,Responsable de Sistemas informáticos,Médicos del Mundo,['Microsoft'],"Misión
Garantizar la disponibilidad de los recursos informáticos, asegurando el funcionamiento de los ordenadores, redes, plataformas y sistemas informáticos en Médicos ...",08/05/2026Madrid (Híbrido)Jefe de Equipo45.000€ - 48.000€ b/a
https://www.tecnoempleo.com/especialista-en-sem-seo-social-media-strategy-the-/google-ads-meta-busines/rf-cbde1071a29b03ee1640,"Especialista en SEM, SEO y Social Media Strategy",The Last Dock,"['Google Ads', 'Meta Business Suite', 'TikTok Ads']",En The Last Dock buscamos un perfil polivalente para nuestra sede en Bilbao. Buscamos a alguien que combine la precisión técnica de un analista de datos con la visión ...,08/05/2026Bizkaia (Híbrido)Marketing24.000€ - 27.000€ b/a
https://www.tecnoempleo.com/analista-programador-ia-bi-incoming-domain/aws-iam/rf-65c41679424813791948,"Analista Programador IA, BI",Incoming Domain,"['AWS', 'IAM', 'EC2']","TELETRABAJO para Desarrolladores con mas de tres años de experiencia.

* DEVOPS CYBERSECURITY :
   1.-BACKEND DEVELOPMENT : Especialista CiverSeguridad en el Area de ...",09/05/2026Madrid y otrasAnalista Programador21.000€ - 30.000€ b/a
https://www.tecnoempleo.com/analista-programador-java-angular-digital-talent-a/microservicios-spring/rf-2b01174ac27383d5bd4c,Analista Programador/a Java - Angular,Digital Talent Agency,"['java', 'microservicios', 'spring']",Zemsania busca incorporar un/a ANALISTA PROGRAMADOR/a JAVA FULLSTACK para un proyecto estable y de larga duración en el sector público. Si eres un apasionado/a de la ...,09/05/2026Madrid (Híbrido)Analista30.000€ - 45.000€ b/a
https://www.tecnoempleo.com/consultor-sap-cs-michael-page/sap-cs/rf-dbc4167af266c38faf46,Consultor/a SAP CS,Michael Page,"['SAP CS', 'SAP']","• Configurar y personalizar el módulo SAP CS para satisfacer las necesidades del cliente.
• Participar en la implementación de proyectos SAP relacionados con el ...",09/05/2026Málaga (Híbrido)Consultor
https://www.tecnoempleo.com/freelance-power-bi-remoto-10h-semana-michael-page/power-bi-dax/rf-6388106eb2ad23369f43,Freelance POWER BI - Remoto - 10h/semana,Michael Page,"['Power BI', 'DAX']","Perfil buscado (Hombre/Mujer)

Trabajando con dos Head del área de Tecnología, tus principales responsabilidades serán:

* Integración de Power BI con otros sistemas...",09/05/2026100% remotoBig DataContrato temporal
https://www.tecnoempleo.com/full-stack-engineer-reactjs-nodejs-page-personnel/typescript-javascript/rf-28221a96a252a3a8014c,"Full Stack Engineer (React.js, Node.js)",Page Personnel,"['React', 'TypeScript', 'JavaScript']","• Diseñar, desarrollar y mantener aplicaciones web y escritorio con un enfoque fullstack.
• Colaborar estrechamente con los equipos de diseño y producto para ...",09/05/2026100% remotoAnalista Programador60.000€ - 72.000€ b/a
